id,biosample,sample,dateCollected,depth,sra,submitter
26087209,SAMN26087209,9181900312_16S,2018-07-04,160,SRS12052220,Shuting Liu
26087208,SAMN26087208,9181900310_16S,2018-07-04,120,SRS12052210,Shuting Liu
26087207,SAMN26087207,9181900308_16S,2018-07-04,80,SRS12052198,Shuting Liu
26087206,SAMN26087206,9181900304_16S,2018-07-04,40,SRS12052312,Shuting Liu
26087205,SAMN26087205,9181900302_16S,2018-07-04,1,SRS12052302,Shuting Liu
26087204,SAMN26087204,9181900123_16S,2018-07-03,300,SRS12052292,Shuting Liu
26087203,SAMN26087203,9181900122_16S,2018-07-03,250,SRS12052281,Shuting Liu
26087202,SAMN26087202,9181900111_16S,2018-07-03,200,SRS12052269,Shuting Liu
26087201,SAMN26087201,9181900110_16S,2018-07-03,160,SRS12052258,Shuting Liu
26087200,SAMN26087200,9181900108_16S,2018-07-03,120,SRS12052247,Shuting Liu
26087199,SAMN26087199,9181900107_16S,2018-07-03,80,SRS12052236,Shuting Liu
26087198,SAMN26087198,9181900104_16S,2018-07-03,40,SRS12052197,Shuting Liu
26087197,SAMN26087197,9181900101_16S,2018-07-03,1,SRS12052196,Shuting Liu
22786685,SAMN22786685,1032400117_18S_V4,2016-05-03,1001.1,SRS10846896,Leocadio Blanco-Bercial
22786684,SAMN22786684,1032400116_18S_V4,2016-05-03,798.5,SRS10846897,Leocadio Blanco-Bercial
22786683,SAMN22786683,1032400115_18S_V4,2016-05-03,599.8,SRS10846895,Leocadio Blanco-Bercial
22786682,SAMN22786682,1032400114_18S_V4,2016-05-03,499.6,SRS10846894,Leocadio Blanco-Bercial
22786681,SAMN22786681,1032400112_18S_V4,2016-05-03,300.1,SRS10846893,Leocadio Blanco-Bercial
22786680,SAMN22786680,1032400111_18S_V4,2016-05-03,250.7,SRS10846891,Leocadio Blanco-Bercial
22786679,SAMN22786679,1032400109_18S_V4,2016-05-03,160.5,SRS10846890,Leocadio Blanco-Bercial
22786678,SAMN22786678,1032400107_18S_V4,2016-05-03,119.2,SRS10846892,Leocadio Blanco-Bercial
22786677,SAMN22786677,1032400105_18S_V4,2016-05-03,79.3,SRS10846889,Leocadio Blanco-Bercial
22786676,SAMN22786676,1032400103_18S_V4,2016-05-03,39.7,SRS10846887,Leocadio Blanco-Bercial
22786675,SAMN22786675,1032300415_18S_V4,2016-04-15,1000,SRS10846886,Leocadio Blanco-Bercial
22786674,SAMN22786674,1032300414_18S_V4,2016-04-15,798.1,SRS10846883,Leocadio Blanco-Bercial
22786673,SAMN22786673,1032300413_18S_V4,2016-04-15,603.2,SRS10846884,Leocadio Blanco-Bercial
22786672,SAMN22786672,1032300410_18S_V4,2016-04-15,300.3,SRS10846885,Leocadio Blanco-Bercial
22786671,SAMN22786671,1032300412_18S_V4,2016-04-15,500.2,SRS10846880,Leocadio Blanco-Bercial
22786670,SAMN22786670,1032300409_18S_V4,2016-04-15,250.8,SRS10846882,Leocadio Blanco-Bercial
22786669,SAMN22786669,1032300408_18S_V4,2016-04-15,199.2,SRS10846881,Leocadio Blanco-Bercial
22786668,SAMN22786668,1032300407_18S_V4,2016-04-15,160,SRS10846878,Leocadio Blanco-Bercial
22786667,SAMN22786667,1032300401_18S_V4,2016-04-15,4.6,SRS10846877,Leocadio Blanco-Bercial
22786666,SAMN22786666,2034500520_18S_V4,2018-03-25,801.3,SRS10846876,Leocadio Blanco-Bercial
22786665,SAMN22786665,2034500505_18S_V4,2018-03-25,79.6,SRS10846875,Leocadio Blanco-Bercial
22786664,SAMN22786664,2034500518_18S_V4,2018-03-25,603,SRS10846874,Leocadio Blanco-Bercial
22786663,SAMN22786663,2034500517_18S_V4,2018-03-25,498.8,SRS10846873,Leocadio Blanco-Bercial
22786662,SAMN22786662,2034500503_18S_V4,2018-03-25,40.2,SRS10846872,Leocadio Blanco-Bercial
22786661,SAMN22786661,2034500513_18S_V4,2018-03-25,302.8,SRS10846871,Leocadio Blanco-Bercial
22786660,SAMN22786660,2034500510_18S_V4,2018-03-25,247.9,SRS10846870,Leocadio Blanco-Bercial
22786659,SAMN22786659,2034500509_18S_V4,2018-03-25,200.8,SRS10846869,Leocadio Blanco-Bercial
